Product,Surface,Method,Dose,Efficacy
sheet1,plastic,spray,5.0,98.75776397515527
sheet1,pruning shears,spray,5.0,98.13664596273291
sheet1,pruning shears,dip,5.0,90.6832298136646
sheet1,plastic,spray,7.5,99.06832298136646
sheet1,pruning shears,spray,7.5,89.44099378881988
sheet1,pruning shears,dip,7.5,90.6832298136646
sheet1,plastic,spray,10.0,99.68944099378882
sheet1,pruning shears,spray,10.0,91.30434782608695
sheet1,pruning shears,dip,10.0,99.68944099378882
sheet1,plastic,spray,15.0,99.37888198757764
sheet1,pruning shears,spray,15.0,99.37888198757764
sheet1,pruning shears,dip,15.0,93.47826086956522
sheet1,plastic,spray,500.0,98.75776397515527
sheet1,pruning shears,spray,500.0,87.26708074534162
sheet1,pruning shears,dip,500.0,76.08695652173913
sheet1,plastic,spray,750.0,72.67080745341615
sheet1,pruning shears,spray,750.0,78.26086956521739
sheet1,pruning shears,dip,750.0,44.09937888198757
sheet1,plastic,spray,1000.0,88.50931677018633
sheet1,pruning shears,spray,1000.0,90.06211180124224
sheet1,pruning shears,dip,1000.0,86.0248447204969
sheet1,plastic,spray,1500.0,83.54037267080744
sheet1,pruning shears,spray,1500.0,90.6832298136646
sheet1,pruning shears,dip,1500.0,92.85714285714286
sheet1,plastic,spray,1000.0,98.4472049689441
sheet1,pruning shears,spray,1000.0,96.27329192546584
sheet1,pruning shears,dip,1000.0,92.85714285714286
sheet1,plastic,spray,1500.0,92.2360248447205
sheet1,pruning shears,spray,1500.0,84.472049689441
sheet1,pruning shears,dip,1500.0,30.43478260869564
sheet1,plastic,spray,3000.0,77.01863354037268
sheet1,pruning shears,spray,3000.0,56.2111801242236
sheet1,pruning shears,dip,3000.0,68.32298136645963
sheet1,plastic,spray,5000.0,95.03105590062113
sheet1,pruning shears,spray,5000.0,97.82608695652173
sheet1,pruning shears,dip,5000.0,72.04968944099379
sheet1,hand,spray,150.0,88.19875776397515
sheet1,hand,dip,150.0,96.58385093167702
sheet1,hand,spray,200.0,60.55900621118012
sheet1,hand,dip,200.0,83.54037267080744
sheet1,hand,spray,250.0,88.19875776397515
sheet1,hand,dip,250.0,69.56521739130434
sheet1,plastic,spray,400.0,100.0
sheet1,pruning shears,spray,400.0,83.22981366459628
sheet1,pruning shears,dip,400.0,91.92546583850931
sheet1,plastic,spray,800.0,100.0
sheet1,pruning shears,spray,800.0,96.58385093167702
sheet1,pruning shears,dip,800.0,96.58385093167702
sheet1,plastic,spray,1000.0,99.06832298136646
sheet1,pruning shears,spray,1000.0,98.13664596273291
sheet1,pruning shears,dip,1000.0,98.75776397515527
sheet1,plastic,spray,1500.0,98.4472049689441
sheet1,pruning shears,spray,1500.0,97.51552795031056
sheet1,pruning shears,dip,1500.0,95.65217391304348
sheet1,hand,spray,150.0,97.82608695652173
sheet1,hand,dip,150.0,93.47826086956522
sheet1,hand,spray,200.0,94.40993788819875
sheet1,hand,dip,200.0,96.27329192546584
sheet1,hand,spray,250.0,96.8944099378882
sheet1,hand,dip,250.0,87.26708074534162
sheet1,plastic,spray,400.0,97.51552795031056
sheet1,pruning shears,spray,400.0,72.04968944099379
sheet1,pruning shears,dip,400.0,86.33540372670807
sheet1,plastic,spray,800.0,98.4472049689441
sheet1,pruning shears,spray,800.0,58.69565217391304
sheet1,pruning shears,dip,800.0,95.03105590062113
sheet1,plastic,spray,1000.0,96.58385093167702
sheet1,pruning shears,spray,1000.0,96.58385093167702
sheet1,pruning shears,dip,1000.0,60.86956521739131
sheet1,plastic,spray,1500.0,100.0
sheet1,pruning shears,spray,1500.0,94.72049689440993
sheet1,pruning shears,dip,1500.0,78.57142857142857
sheet1,hand,spray,6.0,99.68944099378882
sheet1,hand,dip,6.0,99.68944099378882
sheet1,pruning shears,spray,6.0,99.06832298136646
sheet1,pruning shears,dip,6.0,97.82608695652173
sheet1,plastic,spray,6.0,99.68944099378882
