group1,group2,meandiff,p-adj,lower,upper,reject
GLUTARALDEHYDE,HYDROGEN PEROXIDE,-0.111,1.0,-3.2328,3.0107,False
GLUTARALDEHYDE,MILK POWDER,-1.1742,0.97,-5.589,3.2406,False
GLUTARALDEHYDE,QUATERNARY SALTS 4TH GEN,-0.2331,0.9999,-3.1532,2.687,False
GLUTARALDEHYDE,QUATERNARY SALTS 5TH GEN,-1.2491,0.7919,-4.0988,1.6007,False
GLUTARALDEHYDE,SOAP,-0.9025,0.9572,-4.0242,2.2192,False
HYDROGEN PEROXIDE,MILK POWDER,-1.0631,0.9806,-5.4779,3.3516,False
HYDROGEN PEROXIDE,QUATERNARY SALTS 4TH GEN,-0.1221,1.0,-3.0422,2.798,False
HYDROGEN PEROXIDE,QUATERNARY SALTS 5TH GEN,-1.138,0.8489,-3.9878,1.7117,False
HYDROGEN PEROXIDE,SOAP,-0.7915,0.9756,-3.9132,2.3303,False
MILK POWDER,QUATERNARY SALTS 4TH GEN,0.9411,0.987,-3.3336,5.2157,False
MILK POWDER,QUATERNARY SALTS 5TH GEN,-0.0749,1.0,-4.3017,4.152,False
MILK POWDER,SOAP,0.2717,1.0,-4.1431,4.6865,False
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 5TH GEN,-1.016,0.8655,-3.6433,1.6114,False
QUATERNARY SALTS 4TH GEN,SOAP,-0.6694,0.9844,-3.5895,2.2507,False
QUATERNARY SALTS 5TH GEN,SOAP,0.3466,0.9992,-2.5032,3.1963,False
