group1,group2,meandiff,p-adj,lower,upper,reject
GLUTARALDEHYDE,HYDROGEN PEROXIDE,-0.157,1.0,-3.1809,2.8669,False
GLUTARALDEHYDE,MILK POWDER,-3.1211,0.2,-7.0638,0.8216,False
GLUTARALDEHYDE,QUATERNARY SALTS 4TH GEN,-0.8718,0.9443,-3.7004,1.9567,False
GLUTARALDEHYDE,QUATERNARY SALTS 5TH GEN,-1.7019,0.4679,-4.4624,1.0585,False
GLUTARALDEHYDE,SOAP,-1.8655,0.4673,-4.8893,1.1584,False
HYDROGEN PEROXIDE,MILK POWDER,-2.9641,0.2494,-6.9068,0.9786,False
HYDROGEN PEROXIDE,QUATERNARY SALTS 4TH GEN,-0.7148,0.976,-3.5434,2.1137,False
HYDROGEN PEROXIDE,QUATERNARY SALTS 5TH GEN,-1.5449,0.575,-4.3054,1.2155,False
HYDROGEN PEROXIDE,SOAP,-1.7084,0.5649,-4.7323,1.3154,False
MILK POWDER,QUATERNARY SALTS 4TH GEN,2.2493,0.5124,-1.5457,6.0442,False
MILK POWDER,QUATERNARY SALTS 5TH GEN,1.4192,0.8752,-2.3253,5.1636,False
MILK POWDER,SOAP,1.2557,0.9364,-2.687,5.1983,False
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 5TH GEN,-0.8301,0.93,-3.3751,1.7149,False
QUATERNARY SALTS 4TH GEN,SOAP,-0.9936,0.9063,-3.8222,1.835,False
QUATERNARY SALTS 5TH GEN,SOAP,-0.1635,1.0,-2.9239,2.5969,False
