TREATMENT,DOSE_APPLICATION,media,desviacion,n,error,Media ± SD,Media ± Error
GLUTARALDEHYDE,GLUTARALDEHYDE 0.0 ppm POSITIVE WATER,66.0,,1,,66.0 ± nan,66.0 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1000.0 ppm GREENHOUSE PLASTIC SPRAYING,12.333333333333334,,1,,12.33 ± nan,12.33 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1000.0 ppm PRUNING SHEARS  DIPPING,15.0,,1,,15.0 ± nan,15.0 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1000.0 ppm PRUNING SHEARS  SPRAYING,10.666666666666666,,1,,10.67 ± nan,10.67 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1500.0 ppm GREENHOUSE PLASTIC SPRAYING,17.666666666666668,,1,,17.67 ± nan,17.67 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1500.0 ppm PRUNING SHEARS  DIPPING,7.666666666666667,,1,,7.67 ± nan,7.67 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1500.0 ppm PRUNING SHEARS  SPRAYING,10.0,,1,,10.0 ± nan,10.0 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 500.0 ppm GREENHOUSE PLASTIC SPRAYING,1.3333333333333333,,1,,1.33 ± nan,1.33 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 500.0 ppm PRUNING SHEARS  DIPPING,25.666666666666668,,1,,25.67 ± nan,25.67 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 500.0 ppm PRUNING SHEARS  SPRAYING,13.666666666666666,,1,,13.67 ± nan,13.67 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 750.0 ppm GREENHOUSE PLASTIC SPRAYING,29.333333333333332,,1,,29.33 ± nan,29.33 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 750.0 ppm PRUNING SHEARS  DIPPING,60.0,,1,,60.0 ± nan,60.0 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 750.0 ppm PRUNING SHEARS  SPRAYING,23.333333333333332,,1,,23.33 ± nan,23.33 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 0.0 ppm POSITIVE WATER,86.0,,1,,86.0 ± nan,86.0 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1000.0 ppm GREENHOUSE PLASTIC SPRAYING,1.6666666666666667,,1,,1.67 ± nan,1.67 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1000.0 ppm PRUNING SHEARS  DIPPING,7.666666666666667,,1,,7.67 ± nan,7.67 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1000.0 ppm PRUNING SHEARS  SPRAYING,4.0,,1,,4.0 ± nan,4.0 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1500.0 ppm GREENHOUSE PLASTIC SPRAYING,8.333333333333334,,1,,8.33 ± nan,8.33 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1500.0 ppm PRUNING SHEARS  DIPPING,74.66666666666667,,1,,74.67 ± nan,74.67 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1500.0 ppm PRUNING SHEARS  SPRAYING,16.666666666666668,,1,,16.67 ± nan,16.67 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 3000.0 ppm GREENHOUSE PLASTIC SPRAYING,24.666666666666668,,1,,24.67 ± nan,24.67 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 3000.0 ppm PRUNING SHEARS  DIPPING,34.0,,1,,34.0 ± nan,34.0 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 3000.0 ppm PRUNING SHEARS  SPRAYING,47.0,,1,,47.0 ± nan,47.0 ± nan
