TREATMENT,DOSE_APPLICATION,media,desviacion,n,error,Media ± SD,Media ± Error
GLUTARALDEHYDE,GLUTARALDEHYDE 0.0 ppm POSITIVE WATER,5.405678732666666,,1,,5.41 ± nan,5.41 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1000.0 ppm GREENHOUSE PLASTIC SPRAYING,0.5819639746666666,,1,,0.58 ± nan,0.58 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1000.0 ppm PRUNING SHEARS DIPPING,0.5954527096666667,,1,,0.6 ± nan,0.6 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1000.0 ppm PRUNING SHEARS SPRAYING,0.3814146693333333,,1,,0.38 ± nan,0.38 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1500.0 ppm GREENHOUSE PLASTIC SPRAYING,0.6953689406666667,,1,,0.7 ± nan,0.7 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1500.0 ppm PRUNING SHEARS DIPPING,0.586460139,,1,,0.59 ± nan,0.59 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 1500.0 ppm PRUNING SHEARS SPRAYING,0.47656797,,1,,0.48 ± nan,0.48 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 500.0 ppm GREENHOUSE PLASTIC SPRAYING,0.23952849466666667,,1,,0.24 ± nan,0.24 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 500.0 ppm PRUNING SHEARS DIPPING,1.009656087,,1,,1.01 ± nan,1.01 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 500.0 ppm PRUNING SHEARS SPRAYING,0.204907257,,1,,0.2 ± nan,0.2 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 750.0 ppm GREENHOUSE PLASTIC SPRAYING,0.5879630956666667,,1,,0.59 ± nan,0.59 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 750.0 ppm PRUNING SHEARS DIPPING,0.5506429389999999,,1,,0.55 ± nan,0.55 ± nan
GLUTARALDEHYDE,GLUTARALDEHYDE 750.0 ppm PRUNING SHEARS SPRAYING,1.61908575,,1,,1.62 ± nan,1.62 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 0.0 ppm POSITIVE WATER,1.936158628,,1,,1.94 ± nan,1.94 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1000.0 ppm GREENHOUSE PLASTIC SPRAYING,0.44458022633333333,,1,,0.44 ± nan,0.44 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1000.0 ppm PRUNING SHEARS DIPPING,0.1766554773333333,,1,,0.18 ± nan,0.18 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1000.0 ppm PRUNING SHEARS SPRAYING,0.46861115899999994,,1,,0.47 ± nan,0.47 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1500.0 ppm GREENHOUSE PLASTIC SPRAYING,0.3688476303333333,,1,,0.37 ± nan,0.37 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1500.0 ppm PRUNING SHEARS DIPPING,1.051439814,,1,,1.05 ± nan,1.05 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 1500.0 ppm PRUNING SHEARS SPRAYING,0.4488698363333334,,1,,0.45 ± nan,0.45 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 3000.0 ppm GREENHOUSE PLASTIC SPRAYING,0.5013816863333332,,1,,0.5 ± nan,0.5 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 3000.0 ppm PRUNING SHEARS DIPPING,0.8453954263333334,,1,,0.85 ± nan,0.85 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 3000.0 ppm PRUNING SHEARS SPRAYING,0.8077944193333334,,1,,0.81 ± nan,0.81 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 5000.0 ppm GREENHOUSE PLASTIC SPRAYING,0.38563713166666663,,1,,0.39 ± nan,0.39 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 5000.0 ppm PRUNING SHEARS DIPPING,0.508854592,,1,,0.51 ± nan,0.51 ± nan
HYDROGEN PEROXIDE,HYDROGEN PEROXIDE 5000.0 ppm PRUNING SHEARS SPRAYING,0.27267473233333334,,1,,0.27 ± nan,0.27 ± nan
MILK POWDER,MILK POWDER 0.0 % POSITIVE WATER,0.776123647,,1,,0.78 ± nan,0.78 ± nan
MILK POWDER,MILK POWDER 6.0 % GREENHOUSE PLASTIC SPRAYING,0.41067968000000005,,1,,0.41 ± nan,0.41 ± nan
MILK POWDER,MILK POWDER 6.0 % HAND DIPPING,0.181924406,,1,,0.18 ± nan,0.18 ± nan
MILK POWDER,MILK POWDER 6.0 % HAND SPRAYING,0.066569373,,1,,0.07 ± nan,0.07 ± nan
MILK POWDER,MILK POWDER 6.0 % PRUNING SHEARS DIPPING,0.0,,1,,0.0 ± nan,0.0 ± nan
MILK POWDER,MILK POWDER 6.0 % PRUNING SHEARS SPRAYING,0.16033071333333335,,1,,0.16 ± nan,0.16 ± nan
